"","name","tygpnt_f","tygpnt_m","iagpnt_f","iagpnt_m","tochld_f","tochld_m"
"1","AT",18,20,25,28,45,50
"2","BE",19,20,25,28,40,45
"3","BG",18,20,25,26,40,45
"4","CH",20,20,28,30,40,48
"5","CY",20,20,27,30,40,50
"6","CZ",18,20,25.5,29,40.5,50
"7","DE",18,20,25,28,40,50
"8","DK",20,20,25,27,40,45
"9","EE",18,20,25,26,45,50
"10","EI",20,21,27,29,40,47
"11","ES",18,20,26,28,40,45
"12","FI",18,20,25,26,42,50
"13","FR",19,20,25,28,41,50
"14","HU",19,20,25,28,40,46
"15","IT",20,23,28,30,45,50
"16","NL",20,20,27,29,40,45
"17","NO",18,20,25,27,40,50
"18","PL",18,20,25,26,40,45
"19","PT",18,20,25,25,40,50
"20","RS",18,20,25,27,40,45
"21","RU",18,20,22,25,40,45
"22","SE",20,20,25,27,40,48
"23","SK",18,20,25,26,40,48
"24","SL",19,20,25,27,40,50
"25","UA",18,20,22,25,40,45
"26","UK",18,20,25,27,42,50
"27","BY",NA,NA,NA,NA,NA,NA
